# t[ms]  w/0.0254_OpenSG-RM  w/0.0254_Abaqus3D  w/0.0254_AbaqusFSDT (step pulse, dt = 50 us)
5.000000000000000278e-02 8.278975590551182484e-02 1.154888177119486360e-03 8.279043307086614290e-02
1.000000000000000056e-01 3.308408700787401346e-01 1.235526958901478900e-01 3.308482007874015696e-01
1.499999999999999944e-01 7.432292125984252262e-01 6.221800120734906070e-01 7.432686220472441985e-01
2.000000000000000111e-01 1.318488188976377984e+00 1.308290616447008503e+00 1.318630314960629990e+00
2.500000000000000000e-01 2.054680196850394047e+00 2.009401675841404611e+00 2.055068858267716791e+00
2.999999999999999889e-01 2.949460118110236451e+00 2.775727924275422698e+00 2.950324291338583205e+00
3.499999999999999778e-01 4.000107086614173468e+00 3.838173701066622368e+00 4.001737795275590592e+00
4.000000000000000222e-01 5.203515748031495747e+00 5.157061436868263904e+00 5.206203543307086790e+00
4.500000000000000111e-01 6.556151968503937333e+00 6.550920682117284066e+00 6.560106692913386439e+00
5.000000000000000000e-01 8.053997244094489361e+00 7.950752534448819908e+00 8.059278346456693498e+00
5.500000000000000444e-01 9.692501968503938414e+00 9.508354961193694166e+00 9.699000787401574897e+00
5.999999999999999778e-01 1.146657047244094407e+01 1.135627099831270925e+01 1.147406456692913324e+01
6.500000000000000222e-01 1.337058937007874171e+01 1.334159274989194266e+01 1.337885314960630012e+01
6.999999999999999556e-01 1.539849330708661412e+01 1.536231157480315090e+01 1.540742440944882041e+01
7.500000000000000000e-01 1.754385157480314916e+01 1.742840838582677421e+01 1.755355393700787658e+01
8.000000000000000444e-01 1.979994448818898078e+01 1.964084222047244310e+01 1.981072952755905447e+01
8.499999999999999778e-01 2.215982007874016091e+01 2.205320316535432568e+01 2.217210826771653487e+01
9.000000000000000222e-01 2.461630708661417444e+01 2.457541191338582465e+01 2.463047007874016003e+01
9.499999999999999556e-01 2.716199251968503958e+01 2.710121159055118412e+01 2.717820078740157541e+01
1.000000000000000000e+00 2.978917913385826921e+01 2.965303674015748214e+01 2.980732913385826777e+01
1.050000000000000044e+00 3.248984881889763443e+01 3.231919770866142017e+01 3.250960511811023679e+01
1.100000000000000089e+00 3.525565511811023356e+01 3.512237983464567748e+01 3.527659291338583358e+01
1.149999999999999911e+00 3.807795472440945161e+01 3.799245947244094879e+01 3.809974488188976238e+01
1.199999999999999956e+00 4.094788188976377796e+01 4.084445621259842341e+01 4.097042519685039963e+01
1.250000000000000000e+00 4.385643700787402111e+01 4.368276992125984037e+01 4.387988976377952355e+01
1.300000000000000044e+00 4.679457874015748331e+01 4.658675496062991783e+01 4.681926771653543540e+01
1.350000000000000089e+00 4.975326771653543290e+01 4.957538401574803544e+01 4.977953149606299377e+01
1.399999999999999911e+00 5.272350393700787663e+01 5.257408527559055500e+01 5.275153937007873850e+01
1.449999999999999956e+00 5.569629921259843286e+01 5.552030606299211968e+01 5.572606692913385729e+01
1.500000000000000000e+00 5.866265748031496230e+01 5.842449944881889934e+01 5.869389763779528124e+01
1.550000000000000044e+00 6.161355511811024144e+01 6.133762228346456880e+01 6.164589370078740416e+01
1.600000000000000089e+00 6.453997244094487939e+01 6.427660881889764255e+01 6.457302755905512015e+01
1.649999999999999911e+00 6.743289370078740319e+01 6.718461889763780448e+01 6.746640551181101841e+01
1.699999999999999956e+00 7.028339370078739989e+01 7.000165614173228334e+01 7.031727165354331532e+01
1.750000000000000000e+00 7.308270866141732824e+01 7.273928779527560096e+01 7.311700000000000443e+01
1.800000000000000044e+00 7.582225984251968498e+01 7.543840141732283655e+01 7.585709448818897727e+01
1.850000000000000089e+00 7.849374409448819279e+01 7.810106519685039927e+01 7.852922834645669070e+01
1.899999999999999911e+00 8.108911811023621397e+01 8.068786606299212849e+01 8.112525984251968225e+01
1.949999999999999956e+00 8.360061417322836519e+01 8.315861133858267351e+01 8.363727952755905903e+01
2.000000000000000000e+00 8.602073622047244328e+01 8.551423850393700832e+01 8.605766141732283359e+01
2.050000000000000266e+00 8.834222834645670730e+01 8.778474055118111607e+01 8.837907480314962072e+01
2.100000000000000089e+00 9.055810629921261068e+01 8.997299716535431457e+01 9.059449999999999648e+01
2.149999999999999911e+00 9.266163385826772014e+01 9.204588866141730819e+01 9.269724803149607339e+01
2.200000000000000178e+00 9.464636220472441153e+01 9.397744913385827203e+01 9.468094094488189683e+01
2.250000000000000000e+00 9.650616141732284348e+01 9.576842047244093692e+01 9.653952755905511651e+01
2.299999999999999822e+00 9.823524409448818062e+01 9.743123157480314944e+01 9.826729133858268028e+01
2.350000000000000089e+00 9.982820472440945991e+01 9.896997259842520123e+01 9.985884251968504088e+01
