# t[ms]  w/0.0254_OpenSG-RM  w/0.0254_Abaqus3D  w/0.0254_AbaqusFSDT (blast pulse, dt = 50 us)
5.000000000000000278e-02 8.210309055118110433e-02 1.117812755905511941e-03 8.210376377952754989e-02
1.000000000000000056e-01 3.268181811023622152e-01 1.208292901420410792e-01 3.268254409448819175e-01
1.499999999999999944e-01 7.306408661417324035e-01 6.154801317502631708e-01 7.306798425196850966e-01
2.000000000000000111e-01 1.289513700787401795e+00 1.286808550206997692e+00 1.289653897637795366e+00
2.500000000000000000e-01 1.998934960629921376e+00 1.961614197692881145e+00 1.999317480314960704e+00
2.999999999999999889e-01 2.854083937007874550e+00 2.688887432033958191e+00 2.854931929133858404e+00
3.499999999999999778e-01 3.849905236220472649e+00 3.708729632459593972e+00 3.851499685039370569e+00
4.000000000000000222e-01 4.981053543307087494e+00 4.946077470699826506e+00 4.983671259842520129e+00
4.500000000000000111e-01 6.241809448818898431e+00 6.251436676541670678e+00 6.245641338582676561e+00
5.000000000000000000e-01 7.626025590551181566e+00 7.532060098098925849e+00 7.631111023622047185e+00
5.500000000000000444e-01 9.127139370078740654e+00 8.970963470892318270e+00 9.133350000000000080e+00
5.999999999999999778e-01 1.073820787401574961e+01 1.064920223387131770e+01 1.074530472440944884e+01
6.500000000000000222e-01 1.245189763779527681e+01 1.244596842902933709e+01 1.245964251968504044e+01
6.999999999999999556e-01 1.426051181102362264e+01 1.424402921259842358e+01 1.426879173228346609e+01
7.500000000000000000e-01 1.615607874015748280e+01 1.604560031023622102e+01 1.616498897637795551e+01
8.000000000000000444e-01 1.813048346456692883e+01 1.796987429921259860e+01 1.814032165354330672e+01
8.499999999999999778e-01 2.017556102362204840e+01 2.008595916377952761e+01 2.018672992125984322e+01
9.000000000000000222e-01 2.228307165354330621e+01 2.227570283464567069e+01 2.229591771653543475e+01
9.499999999999999556e-01 2.444463779527559311e+01 2.441102202362204565e+01 2.445930354330708667e+01
