# t[ms]  sx/q0_RM_surface(z=h/2)  sx/q0_RM_centroid(z=h/2-tply/2)  sx/q0_Abaqus3D_centroid(interp between dumps) (step pulse)
5.000000000000000278e-02 3.502347992524487696e-01 3.445549390388349398e-01 4.585419951070851541e-01
1.000000000000000056e-01 5.835915008561174400e-01 5.681078725750768887e-01 7.625549826582810331e-01
1.499999999999999944e-01 1.338345744993193920e+00 1.291151988111198579e+00 1.511686338376081906e+00
2.000000000000000111e-01 3.011092743445129560e+00 2.893615856395132191e+00 2.260817694093883556e+00
2.500000000000000000e-01 5.920926289893709615e+00 5.681177587059038636e+00 3.259814251798784479e+00
2.999999999999999889e-01 1.018875435604778268e+01 9.769650917711986793e+00 7.212345632992237299e+00
3.499999999999999778e-01 1.569073821804893498e+01 1.504038456614216734e+01 1.116487701418569500e+01
4.000000000000000222e-01 2.210293958323505237e+01 2.118303904720360364e+01 1.511740839537915271e+01
4.500000000000000111e-01 2.901617441391135799e+01 2.780562112213534220e+01 1.906993977657261041e+01
5.000000000000000000e-01 3.608265927064861955e+01 3.457497485436259410e+01 2.302247115776606634e+01
5.500000000000000444e-01 4.313386443868667897e+01 4.132967544034809748e+01 2.716955026328198386e+01
5.999999999999999778e-01 5.023824884011208525e+01 4.813534095723817785e+01 3.314862043950105885e+01
6.500000000000000222e-01 5.766398153357448564e+01 5.524890132708330981e+01 3.912769061572014806e+01
6.999999999999999556e-01 6.577245088961575448e+01 6.301656883912701090e+01 4.510676079193923727e+01
7.500000000000000000e-01 7.487211516979520809e+01 7.173382989988448344e+01 5.108583096815833358e+01
8.000000000000000444e-01 8.509261793115923922e+01 8.152484294040908708e+01 5.706490114437741568e+01
8.499999999999999778e-01 9.633512117232835692e+01 9.229487620545101834e+01 6.304397132059649778e+01
9.000000000000000222e-01 1.082878872465436046e+02 1.037452522738795722e+02 6.902304149681557988e+01
9.499999999999999556e-01 1.205248584537886245e+02 1.154677913942729361e+02 7.500211167303467619e+01
1.000000000000000000e+00 1.326630895810017705e+02 1.270956515229139967e+02 8.098118184925377250e+01
1.050000000000000044e+00 1.444956845214301779e+02 1.384306767637670816e+02 8.982121495164442138e+01
1.100000000000000089e+00 1.560617556856726367e+02 1.495103886193159894e+02 1.007329798281593582e+02
1.149999999999999911e+00 1.676190187723711631e+02 1.605817369938601473e+02 1.116447447046742667e+02
1.199999999999999956e+00 1.795197614253238214e+02 1.719822314711650506e+02 1.225565095811891609e+02
1.250000000000000000e+00 1.920493023528957792e+02 1.839851970568890636e+02 1.334682744577041262e+02
1.300000000000000044e+00 2.052993178403187642e+02 1.966784164326055873e+02 1.443800393342190205e+02
1.350000000000000089e+00 2.191264495556223437e+02 2.099244960232980475e+02 1.552918042107339716e+02
1.399999999999999911e+00 2.332093852351723058e+02 2.234155691375802917e+02 1.662035690872488658e+02
1.449999999999999956e+00 2.471682303523987798e+02 2.367876629803104436e+02 1.771153339637637600e+02
1.500000000000000000e+00 2.607095576113184165e+02 2.497596770014373249e+02 1.880270988402787111e+02
1.550000000000000044e+00 2.737030671720608552e+02 2.622068197143866541e+02 1.995635526109683155e+02
