#
# ============== HEADLINE SUMMARY (rel L2 err vs exact 3-D) ==============
# case               S |   s13 FSDT    s13 MSG |   s33 FSDT    s33 MSG
#     2.10969e-07   5.03863e-06   7.17000e+09  -3.03765e-24   3.43379e-23  -3.20451e-08   0.00000e+00   0.00000e+00
#     2.27227e-07  -5.62240e-07  -4.08710e-24   1.33648e+10   2.41410e+08   4.39518e-09   0.00000e+00   0.00000e+00
#    -4.50091e-07  -1.72988e-06   3.41053e-23   2.41410e+08   2.64827e+09   1.04972e-07   0.00000e+00   0.00000e+00
#    -2.20070e-25   3.66644e-23  -3.20451e-08   4.39518e-09   1.04972e-07   5.97500e+08   0.00000e+00   0.00000e+00
#     0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   3.54462e+09   5.12505e-07
#     0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   5.12505e-07   4.04026e+09
# exact peaks     B     S=10    s13     4.0989   s33     1.0000
garg_B_0990       10 FSDT            4.583     71.772        n/a       2.5059        n/a
garg_B_0990       10 MSG-RM          4.583      1.203      0.316       4.1362     1.0000
garg_B_0990       10 MSG-RM-2nd     13.861     37.708     37.337       5.6754     1.3721
# exact peaks     B     S=5     s13     1.9986   s33     1.0000
garg_B_0990        5 FSDT           17.181     69.573        n/a       1.2530        n/a
garg_B_0990        5 MSG-RM         17.181      4.608      1.191       2.0648     1.0000
garg_B_0990        5 MSG-RM-2nd    218.370    152.120    149.854       5.1383     2.4885
# garg_B_0909: 8x8 ABDG (core rm_plate_msg, mid reference; rows e11,e22,g12,k11,k22,k12,2g13,2g23):
#     9.60786e+10   2.89692e+09   2.10969e-07  -1.07166e+10  -7.33213e-07   2.63711e-08   0.00000e+00   0.00000e+00
#     2.89692e+09   9.60786e+10   5.03863e-06  -4.87734e-07   1.07166e+10   6.29829e-07   0.00000e+00   0.00000e+00
#     2.10969e-07   5.03863e-06   7.17000e+09   2.63711e-08   6.29829e-07  -3.20451e-08   0.00000e+00   0.00000e+00
#    -1.07166e+10  -5.69301e-07   2.63711e-08   8.00655e+09   2.41410e+08   1.75807e-08   0.00000e+00   0.00000e+00
#    -4.57932e-07   1.07166e+10   6.29829e-07   2.41410e+08   8.00655e+09   4.19886e-07   0.00000e+00   0.00000e+00
#     2.63711e-08   6.29829e-07  -3.20451e-08   1.75807e-08   4.19886e-07   5.97500e+08   0.00000e+00   0.00000e+00
#     0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   3.20191e+09  -9.90896e-07
#     0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -9.90896e-07   3.20191e+09
# exact peaks     B     S=10    s13     5.5612   s33     1.0000
garg_B_0909       10 FSDT            3.744     64.731        n/a       2.5059        n/a
garg_B_0909       10 MSG-RM          3.744      1.466      0.432       5.6426     1.0000
garg_B_0909       10 MSG-RM-2nd      5.912     24.399     24.414       6.9367     1.2468
# exact peaks     B     S=5     s13     2.6680   s33     1.0000
garg_B_0909        5 FSDT           14.308     62.304        n/a       1.2530        n/a
garg_B_0909        5 MSG-RM         14.308      5.654      1.683       2.8199     1.0000
garg_B_0909        5 MSG-RM-2nd     94.546     99.157     98.522       5.4617     1.9871
