case,S,s11_tsdt,s11_msg,txz_fsdt,txz_tsdt_c,txz_tsdt_e,txz_msg,s33_tsdt,s33_msg,w_tsdt,w_fsdt,w_msg
[0/90/0],100,0.0008386004073993364,0.001535079746790755,0.7351055039574891,0.4160695357447427,0.0002508025087078473,0.00047039345855992196,6.519719885974268e-05,0.00012286833666372304,0.0012922554815960607,0.002517322756842022,1.4800903748168892e-05
[0/core/0],100,0.001926552661382088,0.0031119961401882856,4.9902107272476774,7.70711868713577,0.0005921878500897372,0.0009682649602586299,4.971335206097012e-05,8.301130564793462e-05,0.02253545050966943,0.041453518873963646,1.3423180038385496e-05
[0/90/0],10,0.07317934166694232,0.1412512716236986,0.7079325633768307,0.38957295874285913,0.022272090083561406,0.044324966798444915,0.00567980439378561,0.01165627248582437,0.06205534187159334,0.1266826750385066,0.013015257048114126
[0/core/0],10,0.17842079347764125,0.29077335257895637,4.731273878565438,7.315806290723481,0.055430937245251145,0.09147402328358098,0.004925274051867369,0.008250927917226742,0.3982338866795646,0.741787145454852,0.01690516410072851
[0/90/0],4,0.2112406309341226,0.546012218897593,0.6022645401790736,0.30734943660130626,0.07366635227189988,0.2093917774004447,0.01819986977366587,0.05464931494138392,0.06536428993033583,0.16548644269722268,0.11624727456235306
[0/core/0],4,0.5044388042379125,0.8607062720118093,3.502766291413058,5.43224530011933,0.23982941217754114,0.41507334246451877,0.02710782554440781,0.047634088247762885,0.429846846289353,0.8560400234086087,0.12266691876280267
