# garg caseC [0/core/0] sandwich, S = a/h = 10 -- 3-D DISPLACEMENT recovery, Yu-2003 Eq. 65
# plate part u^2d from: the internal harmonic solve (theory)
# stations: U1, U2 at x = 0 (cos peak); U3 at x = a/2 (sin peak)
# 
# U_1 = U - x3 (p W) + w1 ; U_2 = V + w2 ; U_3 = W + w3   (Kirchhoff
# composition -- the raw warping tilt carries the mean shear; z*phi
# would double-count it, see msgrm_warping_at_depth)
#   plate DOF amplitudes [U, V, W, F1, F2] = [-3.96194e-22, -5.85391e-35, 0.000111341, -6.00318e-05, -1.32611e-17]
#   (rotations F1/F2 are fitted and recorded but the composition
#    needs only U, V, W; Abaqus map phi1 = UR2, phi2 = -UR1; the
#    rigid-body constants of the deck's pins are fitted out -- the
#    exact solution carries the zero-span-average gauge)
#   strain amplitudes Es = [1.24468e-21, 0, 1.83906e-34, 0.000188595, 0, 4.16609e-17]
#   warping arguments: E6,1 = p Es at x = 0 ; E6 = Es and
#   E6,11 = -p^2 Es at x = a/2
# 
# gauge check: <U1_exact> over the thickness = 1.853641e-08 vs plate u0 = -3.961937e-22
# 
# rel L2 errors vs exact 3-D [%]:  U1   0.9701   U2   0.0000 (U2_exact ~ 0: denominator floored at 1e-3 ||U1||)   U3   1.6442
# 
# columns: z[m]  U1_rec U1_exact  U2_rec U2_exact  U3_rec U3_exact  [m]
  -4.475000e-02    2.566967e-06    2.569665e-06   -1.493516e-19    0.000000e+00    1.113836e-04    1.092760e-04
  -4.462500e-02    2.523642e-06    2.527232e-06   -1.493431e-19    0.000000e+00    1.113825e-04    1.092763e-04
  -4.450000e-02    2.480325e-06    2.484807e-06   -1.493344e-19    0.000000e+00    1.113813e-04    1.092765e-04
  -4.437500e-02    2.437017e-06    2.442390e-06   -1.493255e-19    0.000000e+00    1.113802e-04    1.092768e-04
  -4.425000e-02    2.393717e-06    2.399981e-06   -1.493164e-19    0.000000e+00    1.113791e-04    1.092771e-04
  -4.412500e-02    2.350426e-06    2.357580e-06   -1.493072e-19    0.000000e+00    1.113780e-04    1.092773e-04
  -4.400000e-02    2.307143e-06    2.315187e-06   -1.492977e-19    0.000000e+00    1.113769e-04    1.092776e-04
  -4.387500e-02    2.263869e-06    2.272800e-06   -1.492881e-19    0.000000e+00    1.113758e-04    1.092778e-04
  -4.375000e-02    2.220604e-06    2.230422e-06   -1.492783e-19    0.000000e+00    1.113747e-04    1.092780e-04
  -4.362500e-02    2.177346e-06    2.188050e-06   -1.492682e-19    0.000000e+00    1.113736e-04    1.092783e-04
  -4.350000e-02    2.134098e-06    2.145685e-06   -1.492581e-19    0.000000e+00    1.113725e-04    1.092785e-04
  -4.337500e-02    2.090858e-06    2.103328e-06   -1.492477e-19    0.000000e+00    1.113714e-04    1.092787e-04
  -4.325000e-02    2.047626e-06    2.060977e-06   -1.492371e-19    0.000000e+00    1.113702e-04    1.092790e-04
  -4.312500e-02    2.004402e-06    2.018633e-06   -1.492264e-19    0.000000e+00    1.113691e-04    1.092792e-04
  -4.300000e-02    1.961187e-06    1.976295e-06   -1.492155e-19    0.000000e+00    1.113680e-04    1.092794e-04
  -4.287500e-02    1.917980e-06    1.933964e-06   -1.492044e-19    0.000000e+00    1.113669e-04    1.092796e-04
  -4.275000e-02    1.874782e-06    1.891639e-06   -1.491931e-19    0.000000e+00    1.113658e-04    1.092798e-04
  -4.262500e-02    1.831592e-06    1.849320e-06   -1.491816e-19    0.000000e+00    1.113647e-04    1.092800e-04
  -4.250000e-02    1.788410e-06    1.807006e-06   -1.491700e-19    0.000000e+00    1.113636e-04    1.092802e-04
  -4.237500e-02    1.745236e-06    1.764699e-06   -1.491581e-19    0.000000e+00    1.113624e-04    1.092804e-04
  -4.225000e-02    1.702071e-06    1.722398e-06   -1.491461e-19    0.000000e+00    1.113613e-04    1.092806e-04
  -4.212500e-02    1.658913e-06    1.680102e-06   -1.491339e-19    0.000000e+00    1.113602e-04    1.092808e-04
  -4.200000e-02    1.615764e-06    1.637811e-06   -1.491216e-19    0.000000e+00    1.113591e-04    1.092810e-04
  -4.187500e-02    1.572623e-06    1.595526e-06   -1.491090e-19    0.000000e+00    1.113579e-04    1.092811e-04
  -4.175000e-02    1.529490e-06    1.553246e-06   -1.490963e-19    0.000000e+00    1.113568e-04    1.092813e-04
  -4.162500e-02    1.486366e-06    1.510971e-06   -1.490834e-19    0.000000e+00    1.113557e-04    1.092815e-04
  -4.150000e-02    1.443249e-06    1.468701e-06   -1.490703e-19    0.000000e+00    1.113546e-04    1.092816e-04
  -4.137500e-02    1.400140e-06    1.426435e-06   -1.490571e-19    0.000000e+00    1.113535e-04    1.092818e-04
  -4.125000e-02    1.357039e-06    1.384174e-06   -1.490437e-19    0.000000e+00    1.113523e-04    1.092820e-04
  -4.112500e-02    1.313947e-06    1.341918e-06   -1.490301e-19    0.000000e+00    1.113512e-04    1.092821e-04
  -4.100000e-02    1.270862e-06    1.299666e-06   -1.490163e-19    0.000000e+00    1.113501e-04    1.092823e-04
  -4.087500e-02    1.227785e-06    1.257418e-06   -1.490024e-19    0.000000e+00    1.113489e-04    1.092824e-04
  -4.075000e-02    1.184716e-06    1.215174e-06   -1.489883e-19    0.000000e+00    1.113478e-04    1.092825e-04
  -4.062500e-02    1.141655e-06    1.172934e-06   -1.489740e-19    0.000000e+00    1.113467e-04    1.092827e-04
  -4.050000e-02    1.098602e-06    1.130698e-06   -1.489595e-19    0.000000e+00    1.113456e-04    1.092828e-04
  -4.037500e-02    1.055557e-06    1.088465e-06   -1.489449e-19    0.000000e+00    1.113444e-04    1.092829e-04
  -4.025000e-02    1.012520e-06    1.046236e-06   -1.489301e-19    0.000000e+00    1.113433e-04    1.092830e-04
  -4.012500e-02    9.694899e-07    1.004011e-06   -1.489151e-19    0.000000e+00    1.113422e-04    1.092832e-04
  -4.000000e-02    9.264680e-07    9.617883e-07   -1.489000e-19    0.000000e+00    1.113410e-04    1.092833e-04
  -4.000000e-02    9.264680e-07    9.617883e-07   -1.489000e-19    0.000000e+00    1.113410e-04    1.092833e-04
  -3.900000e-02    9.016784e-07    9.380477e-07   -1.455104e-19    0.000000e+00    1.113402e-04    1.092845e-04
  -3.800000e-02    8.770125e-07    9.143525e-07   -1.421157e-19    0.000000e+00    1.113394e-04    1.092859e-04
  -3.700000e-02    8.524670e-07    8.907007e-07   -1.387161e-19    0.000000e+00    1.113386e-04    1.092875e-04
  -3.600000e-02    8.280388e-07    8.670905e-07   -1.353116e-19    0.000000e+00    1.113379e-04    1.092894e-04
  -3.500000e-02    8.037247e-07    8.435201e-07   -1.319024e-19    0.000000e+00    1.113371e-04    1.092913e-04
  -3.400000e-02    7.795216e-07    8.199877e-07   -1.284886e-19    0.000000e+00    1.113364e-04    1.092935e-04
  -3.300000e-02    7.554263e-07    7.964914e-07   -1.250704e-19    0.000000e+00    1.113357e-04    1.092959e-04
  -3.200000e-02    7.314356e-07    7.730293e-07   -1.216478e-19    0.000000e+00    1.113351e-04    1.092984e-04
  -3.100000e-02    7.075463e-07    7.495996e-07   -1.182211e-19    0.000000e+00    1.113344e-04    1.093012e-04
  -3.000000e-02    6.837553e-07    7.262005e-07   -1.147903e-19    0.000000e+00    1.113338e-04    1.093041e-04
  -2.900000e-02    6.600594e-07    7.028302e-07   -1.113556e-19    0.000000e+00    1.113331e-04    1.093072e-04
  -2.800000e-02    6.364555e-07    6.794868e-07   -1.079171e-19    0.000000e+00    1.113325e-04    1.093105e-04
  -2.700000e-02    6.129403e-07    6.561685e-07   -1.044749e-19    0.000000e+00    1.113320e-04    1.093140e-04
  -2.600000e-02    5.895107e-07    6.328734e-07   -1.010292e-19    0.000000e+00    1.113314e-04    1.093177e-04
  -2.500000e-02    5.661636e-07    6.095998e-07   -9.758005e-20    0.000000e+00    1.113309e-04    1.093215e-04
  -2.400000e-02    5.428957e-07    5.863458e-07   -9.412766e-20    0.000000e+00    1.113304e-04    1.093256e-04
  -2.300000e-02    5.197039e-07    5.631095e-07   -9.067213e-20    0.000000e+00    1.113299e-04    1.093298e-04
  -2.200000e-02    4.965850e-07    5.398893e-07   -8.721359e-20    0.000000e+00    1.113294e-04    1.093343e-04
  -2.100000e-02    4.735358e-07    5.166831e-07   -8.375217e-20    0.000000e+00    1.113290e-04    1.093389e-04
  -2.000000e-02    4.505532e-07    4.934892e-07   -8.028800e-20    0.000000e+00    1.113285e-04    1.093437e-04
  -1.900000e-02    4.276340e-07    4.703059e-07   -7.682122e-20    0.000000e+00    1.113281e-04    1.093487e-04
  -1.800000e-02    4.047751e-07    4.471312e-07   -7.335195e-20    0.000000e+00    1.113277e-04    1.093538e-04
  -1.700000e-02    3.819732e-07    4.239633e-07   -6.988032e-20    0.000000e+00    1.113274e-04    1.093592e-04
  -1.600000e-02    3.592252e-07    4.008004e-07   -6.640646e-20    0.000000e+00    1.113270e-04    1.093648e-04
  -1.500000e-02    3.365280e-07    3.776407e-07   -6.293052e-20    0.000000e+00    1.113267e-04    1.093705e-04
  -1.400000e-02    3.138782e-07    3.544824e-07   -5.945260e-20    0.000000e+00    1.113264e-04    1.093764e-04
  -1.300000e-02    2.912729e-07    3.313237e-07   -5.597286e-20    0.000000e+00    1.113261e-04    1.093826e-04
  -1.200000e-02    2.687088e-07    3.081627e-07   -5.249142e-20    0.000000e+00    1.113258e-04    1.093889e-04
  -1.100000e-02    2.461827e-07    2.849976e-07   -4.900840e-20    0.000000e+00    1.113256e-04    1.093954e-04
  -1.000000e-02    2.236915e-07    2.618265e-07   -4.552395e-20    0.000000e+00    1.113254e-04    1.094020e-04
  -9.000000e-03    2.012320e-07    2.386477e-07   -4.203818e-20    0.000000e+00    1.113252e-04    1.094089e-04
  -8.000000e-03    1.788010e-07    2.154594e-07   -3.855124e-20    0.000000e+00    1.113250e-04    1.094160e-04
  -7.000000e-03    1.563954e-07    1.922597e-07   -3.506325e-20    0.000000e+00    1.113248e-04    1.094232e-04
  -6.000000e-03    1.340120e-07    1.690467e-07   -3.157435e-20    0.000000e+00    1.113247e-04    1.094307e-04
  -5.000000e-03    1.116476e-07    1.458188e-07   -2.808466e-20    0.000000e+00    1.113246e-04    1.094383e-04
  -4.000000e-03    8.929907e-08    1.225739e-07   -2.459431e-20    0.000000e+00    1.113245e-04    1.094461e-04
  -3.000000e-03    6.696321e-08    9.931042e-08   -2.110344e-20    0.000000e+00    1.113244e-04    1.094541e-04
  -2.000000e-03    4.463686e-08    7.602639e-08   -1.761218e-20    0.000000e+00    1.113243e-04    1.094623e-04
  -1.000000e-03    2.231684e-08    5.272001e-08   -1.412066e-20    0.000000e+00    1.113243e-04    1.094706e-04
   0.000000e+00    5.093614e-19    2.938946e-08   -1.062901e-20    0.000000e+00    1.113243e-04    1.094792e-04
   1.000000e-03   -2.231684e-08    6.032911e-09   -7.137352e-21    0.000000e+00    1.113243e-04    1.094880e-04
   2.000000e-03   -4.463686e-08   -1.735148e-08   -3.645829e-21    0.000000e+00    1.113243e-04    1.094969e-04
   3.000000e-03   -6.696321e-08   -4.076554e-08   -1.545684e-22    0.000000e+00    1.113244e-04    1.095060e-04
   4.000000e-03   -8.929907e-08   -6.421110e-08    3.336300e-21    0.000000e+00    1.113245e-04    1.095153e-04
   5.000000e-03   -1.116476e-07   -8.769001e-08    6.826645e-21    0.000000e+00    1.113246e-04    1.095248e-04
   6.000000e-03   -1.340120e-07   -1.112041e-07    1.031634e-20    0.000000e+00    1.113247e-04    1.095345e-04
   7.000000e-03   -1.563954e-07   -1.347552e-07    1.380524e-20    0.000000e+00    1.113248e-04    1.095444e-04
