y2 y3 S11 S22 S33 S23 S13 S12
5.919366376017750264e-04 7.133548231947449414e-02 2.047373531948207412e+06 4.162763803793376312e+06 4.235444619165034965e+03 -1.473855225009561036e+04 -1.249251657757032444e+04 3.100813871253231540e+06
-5.919366376017749180e-04 7.133548231947449414e-02 2.047373531948221382e+06 4.162763803793408442e+06 4.235444619313348085e+03 1.473855225019108548e+04 1.249251657733440697e+04 3.100813871253241785e+06
5.944736207480918024e-04 7.164121957902927496e-02 2.027462901257983176e+06 4.168781307836036198e+06 3.508695817370899022e+03 -1.478352710941512487e+04 -1.253930549106151011e+04 3.103127414725411218e+06
-5.944736207480919108e-04 7.164121957902928883e-02 2.027462901257969905e+06 4.168781307836035267e+06 3.508695817381143570e+03 1.478352710949848915e+04 1.253930549083438382e+04 3.103127414725414477e+06
5.979392102753568281e-04 7.205886444246456524e-02 2.000916575335261645e+06 4.177573596673715394e+06 4.209484521176666021e+03 -1.484721953791022679e+04 -1.260152688982527252e+04 3.106283393862925470e+06
-5.979392102753566113e-04 7.205886444246457911e-02 2.000916575335341971e+06 4.177573596673748456e+06 4.209484521204140037e+03 1.484721953799354196e+04 1.260152688959822081e+04 3.106283393862910103e+06
6.004761978874933537e-04 7.236460170201935993e-02 1.980885831936259521e+06 4.183540482090180740e+06 3.263744574935408309e+03 -1.489295500530256504e+04 -1.264660739643208944e+04 3.108590581192767248e+06
-6.004761978874934621e-04 7.236460170201937381e-02 1.980885831936309813e+06 4.183540482090177480e+06 3.263744574818992987e+03 1.489295500540500143e+04 1.264660739619946071e+04 3.108590581192745361e+06
6.039417874147583794e-04 7.278224656545465021e-02 1.954299068924713880e+06 4.192363434400788974e+06 3.970781863552983850e+03 -1.495688352714181747e+04 -1.270890817353165767e+04 3.111738022516569123e+06
-6.039417874147582710e-04 7.278224656545465021e-02 1.954299068924760446e+06 4.192363434400787577e+06 3.970781863436335698e+03 1.495688352721597039e+04 1.270890817332733968e+04 3.111738022516547237e+06
6.064787750268950135e-04 7.308798382500944490e-02 1.934152843100517057e+06 4.198280320116637275e+06 2.810975975509500131e+03 -1.500335687131367922e+04 -1.275233477799690809e+04 3.114039064729450736e+06
-6.064787750268951219e-04 7.308798382500945878e-02 1.934152843100606930e+06 4.198280320116669871e+06 2.810975975497160107e+03 1.500335687138480716e+04 1.275233477781677175e+04 3.114039064729428384e+06
-6.099443645541599308e-04 7.350562868844472131e-02 1.907529091731995344e+06 4.207132546687146649e+06 3.524096423077397048e+03 1.506750110674918506e+04 1.281471718706346655e+04 3.117178252204938326e+06
6.099443645541600392e-04 7.350562868844473519e-02 1.907529091731895925e+06 4.207132546687113121e+06 3.524096423089504242e+03 -1.506750110667987610e+04 -1.281471718724179118e+04 3.117178252204961609e+06
6.124813477004768152e-04 7.381136594799951600e-02 1.887271783449879382e+06 4.213000060003838502e+06 2.155026797309285030e+03 -1.511469030487471173e+04 -1.285654165999108773e+04 3.119473353915662505e+06
-6.124813477004769236e-04 7.381136594799952988e-02 1.887271783450003946e+06 4.213000060003887862e+06 2.155026797344675288e+03 1.511469030493984610e+04 1.285654165984268730e+04 3.119473353915637825e+06
6.159469250268950627e-04 7.422901081143480628e-02 1.860614256174873561e+06 4.221880237294630148e+06 2.874067459221929312e+03 -1.517903117762320835e+04 -1.291900800885535864e+04 3.122604562742059585e+06
-6.159469250268948459e-04 7.422901081143480628e-02 1.860614256175015122e+06 4.221880237294683233e+06 2.874067459259880707e+03 1.517903117768942684e+04 1.291900800870584499e+04 3.122604562742033508e+06
6.184839081732117303e-04 7.453474807098960098e-02 1.840250049573766533e+06 4.227699011298473924e+06 1.300413116655545309e+03 -1.522691527830260384e+04 -1.295927938773620917e+04 3.124893922095406335e+06
-6.184839081732118387e-04 7.453474807098961485e-02 1.840250049573923461e+06 4.227699011298538186e+06 1.300413116723531857e+03 1.522691527832744578e+04 1.295927938766312400e+04 3.124893922095379326e+06
6.219494977004767560e-04 7.495239293442489126e-02 1.813561741635861807e+06 4.236605878742962144e+06 2.025214118552859873e+03 -1.529143467860314195e+04 -1.302183100309938891e+04 3.128017418472509831e+06
-6.219494977004766476e-04 7.495239293442489126e-02 1.813561741636025487e+06 4.236605878743024543e+06 2.025214118621312082e+03 1.529143467863490878e+04 1.302183100301934610e+04 3.128017418472482823e+06
6.244864853126133901e-04 7.525813019397967207e-02 1.793094620050613768e+06 4.242376551624158397e+06 2.515349235276225954e+02 -1.533999354688305903e+04 -1.306059584991533120e+04 3.130301226954301819e+06
-6.244864853126134985e-04 7.525813019397968595e-02 1.793094620050750673e+06 4.242376551624202169e+06 2.515349235550966114e+02 1.533999354690142900e+04 1.306059584987766539e+04 3.130301226954277605e+06
6.279520748398785242e-04 7.567577505741496235e-02 1.766378327537295409e+06 4.251308908636437729e+06 9.819398655812256038e+02 -1.540467464059702434e+04 -1.312323466502576048e+04 3.133417268016377930e+06
-6.279520748398783074e-04 7.567577505741496235e-02 1.766378327537400182e+06 4.251308908636468463e+06 9.819398656019475311e+02 1.540467464061420469e+04 1.312323466498927519e+04 3.133417268016360234e+06
