y2 y3 S11 S22 S33 S23 S13 S12
4.692980753999573197e-04 7.069268091296122825e-02 1.119402421722222678e+07 -9.530800665843872353e+06 1.419541443902719766e+04 4.635256420054674527e+04 3.282526536174162175e+04 6.964472566302514169e+05
-4.692980753999571571e-04 7.069268091296122825e-02 1.119402421722244471e+07 -9.530800665843762457e+06 1.419541443883022293e+04 -4.635256420100032119e+04 -3.282526536000954366e+04 6.964472566301594488e+05
4.703129642270292951e-04 7.084555851010493344e-02 1.113563431545184553e+07 -9.528846708029963076e+06 2.174496816833410412e+04 4.633161058203365974e+04 3.277819503608685045e+04 6.867602533598073060e+05
-4.703129642270293493e-04 7.084555851010493344e-02 1.113563431545204483e+07 -9.528846708029853180e+06 2.174496816812688485e+04 -4.633161058234344091e+04 -3.277819503438916581e+04 6.867602533597162692e+05
4.716993220464031742e-04 7.105439319147274779e-02 1.104926184960733727e+07 -9.532033066237952560e+06 1.448520488666184247e+04 4.626079787792235584e+04 3.268030592948667254e+04 6.735285225798097672e+05
-4.716993220464030657e-04 7.105439319147274779e-02 1.104926184960751794e+07 -9.532033066237857565e+06 1.448520488644810393e+04 -4.626079787825774110e+04 -3.268030592776334743e+04 6.735285225797262974e+05
4.727142108734752038e-04 7.120727078861645298e-02 1.099132968335900269e+07 -9.530275936693508178e+06 2.175873874340206385e+04 4.623740290718976030e+04 3.262746041927844271e+04 6.638433164991764352e+05
-4.727142108734752038e-04 7.120727078861646686e-02 1.099132968335930444e+07 -9.530275936693279073e+06 2.175873874363675714e+04 -4.623740290754678426e+04 -3.262746041754307589e+04 6.638433164991020458e+05
-4.741005808936957526e-04 7.141610546998426734e-02 1.090571840905749612e+07 -9.533602004909554496e+06 1.451260915579413995e+04 -4.616764134180901601e+04 -3.253060826663182524e+04 6.506145618847205769e+05
4.741005808936959152e-04 7.141610546998428122e-02 1.090571840905730054e+07 -9.533602004909748212e+06 1.451260915557714179e+04 4.616764134146225115e+04 3.253060826835662010e+04 6.506145618847758742e+05
4.751154697207679448e-04 7.156898306712797253e-02 1.084822034125232883e+07 -9.532036612390497699e+06 2.152294970713276416e+04 4.614184930792276282e+04 3.247204109770532523e+04 6.409318989759873366e+05
-4.751154697207679990e-04 7.156898306712797253e-02 1.084822034125228226e+07 -9.532036612390471622e+06 2.152294970687478781e+04 -4.614184930834959960e+04 -3.247204109588604479e+04 6.409318989759380929e+05
-4.765018275401417154e-04 7.177781774849580076e-02 1.076333044887195155e+07 -9.535502132188515738e+06 1.428762671170243993e+04 -4.607309712024380860e+04 -3.237619113610679051e+04 6.277071092560404213e+05
4.765018275401419322e-04 7.177781774849581464e-02 1.076333044887201302e+07 -9.535502132188547403e+06 1.428762671196181327e+04 4.607309711979861459e+04 3.237619113794402801e+04 6.277071092560861725e+05
