y2 y3 S11 S22 S33 S23 S13 S12
4.559054522116332041e-04 6.867528483903577452e-02 6.281063305158940554e+08 1.893986143760803342e+08 -8.061028544075340033e+05 -3.062975008972940268e+05 2.806614612906101975e+05 4.269471617561896443e+08
-4.559054522116332041e-04 6.867528483903577452e-02 6.281063305159468651e+08 1.893986143760932088e+08 -8.061028544003516436e+05 3.062975008790866123e+05 -2.806614612208384788e+05 4.269471617561816573e+08
4.572918222318538613e-04 6.888411952040360275e-02 6.320620889042764902e+08 1.903011744388283491e+08 -2.466263040144592524e+05 -3.060495100171085796e+05 2.822299675311481114e+05 4.278068829549967051e+08
-4.572918222318537529e-04 6.888411952040360275e-02 6.320620889043253660e+08 1.903011744388417602e+08 -2.466263040074110031e+05 3.060495099995181663e+05 -2.822299674619485158e+05 4.278068829549885392e+08
4.583067110589258367e-04 6.903699711754729407e-02 6.345373657496707439e+08 1.906156678738982081e+08 -8.884755842907130718e+05 -3.065782696312205517e+05 2.852103148083856795e+05 4.284365146408548355e+08
-4.583067110589259452e-04 6.903699711754730794e-02 6.345373657497143745e+08 1.906156678739088476e+08 -8.884755842933952808e+05 3.065782696077924338e+05 -2.852103147222503903e+05 4.284365146408468485e+08
4.596930688782998242e-04 6.924583179891513618e-02 6.384893729832546711e+08 1.915174946284404397e+08 -3.294925620984882116e+05 -3.063365766728754388e+05 2.867781715263914084e+05 4.292969766278517842e+08
-4.596930688782997158e-04 6.924583179891513618e-02 6.384893729832959175e+08 1.915174946284511685e+08 -3.294925621013790369e+05 3.063365766484657070e+05 -2.867781714392393478e+05 4.292969766278438568e+08
4.607079577053717996e-04 6.939870939605882749e-02 6.409674531799938679e+08 1.918360270898976028e+08 -9.578509383343309164e+05 -3.068744810873145470e+05 2.897408292302460759e+05 4.299271275166012645e+08
-4.607079577053718538e-04 6.939870939605882749e-02 6.409674531800411940e+08 1.918360270899139345e+08 -9.578509383214861155e+05 3.068744810588184046e+05 -2.897408291306389729e+05 4.299271275165932178e+08
4.620943277255925652e-04 6.960754407742664185e-02 6.449157882755539417e+08 1.927371743145171404e+08 -3.993395542449504137e+05 -3.066391312843053602e+05 2.913079588782218634e+05 4.307882673871252537e+08
-4.620943277255924568e-04 6.960754407742665573e-02 6.449157882756003141e+08 1.927371743145337701e+08 -3.993395542321056128e+05 3.066391312565557892e+05 -2.913079587793331593e+05 4.307882673871170282e+08
4.631092165526645948e-04 6.976042167457036092e-02 6.473966309661821127e+08 1.930597047865972519e+08 -1.014433517311424017e+06 -3.071865283065399271e+05 2.942525299041727558e+05 4.314188921101608276e+08
