# t[s]  w_center_TSDT[m]  w_center_RM_navier[m]  (Nayak Ex.5, blast pulse, q0 F(t) sinsin)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000082e-05 8.460605591510434332e-05 8.462711909899358102e-05
2.000000000000000164e-05 3.380370297355021086e-04 3.381231293070352008e-04
3.000000000000000415e-05 7.596904864753551562e-04 7.598912675329087558e-04
4.000000000000000327e-05 1.348935396901167639e-03 1.349310035858187345e-03
5.000000000000000240e-05 2.105112580056911487e-03 2.105733632571283372e-03
6.000000000000000830e-05 3.027535272487439765e-03 3.028492509964415998e-03
7.000000000000000742e-05 4.115489812904726992e-03 4.116894047196980981e-03
8.000000000000000654e-05 5.368236428417439733e-03 5.370223323815258819e-03
9.000000000000000567e-05 6.785010106149682099e-03 6.787743977151972780e-03
1.000000000000000048e-04 8.365021532158243081e-03 8.368699124867189781e-03
1.100000000000000039e-04 1.010745807805693043e-02 1.011231233238191890e-02
1.200000000000000166e-04 1.201148481472474536e-02 1.201778860392997347e-02
1.300000000000000157e-04 1.407624553191501662e-02 1.408431537544674317e-02
1.400000000000000148e-04 1.630086374251957584e-02 1.631106348751968152e-02
1.500000000000000140e-04 1.868444365068170493e-02 1.869718811716680751e-02
1.600000000000000131e-04 2.122607106386793091e-02 2.124182964825736819e-02
1.700000000000000122e-04 2.392481423039852576e-02 2.394411446191788140e-02
1.800000000000000113e-04 2.677972458574854470e-02 2.680315563025474634e-02
1.900000000000000105e-04 2.978983739314580714e-02 2.981805349910429670e-02
2.000000000000000096e-04 3.295417226653066939e-02 3.298789614824968602e-02
2.100000000000000087e-04 3.627173356677197702e-02 3.631175972054864753e-02
2.200000000000000078e-04 3.974151066506417113e-02 3.978870861462722314e-02
2.300000000000000070e-04 4.336247807061482940e-02 4.341779553913279605e-02
2.400000000000000332e-04 4.713359542296999272e-02 4.719806142992638565e-02
2.500000000000000052e-04 5.105380735256756508e-02 5.112853523494789720e-02
2.600000000000000314e-04 5.512204321625454456e-02 5.520823357472433301e-02
2.700000000000000035e-04 5.933721671750335352e-02 5.943616028953960934e-02
2.800000000000000297e-04 6.369822542382330699e-02 6.381130588706053486e-02
2.900000000000000017e-04 6.820395019634099831e-02 6.833264690666633612e-02
3.000000000000000279e-04 7.285325454864133299e-02 7.299914521877741425e-02
3.099999999999999999e-04 7.764498395368601980e-02 7.780974727909803490e-02
3.200000000000000262e-04 8.257796511890658220e-02 8.276338335882207908e-02
3.300000000000000524e-04 8.765100525038296841e-02 8.785896677247445608e-02
3.400000000000000244e-04 9.286289132733474561e-02 9.309539312516575127e-02
3.500000000000000507e-04 9.821238940798455996e-02 9.847153960062154932e-02
3.600000000000000227e-04 1.036982439871802775e-01 1.039862643104061818e-01
3.700000000000000489e-04 1.093191774250164838e-01 1.096384057233376480e-01
3.800000000000000209e-04 1.150738894641063076e-01 1.154267821922041470e-01
3.900000000000000471e-04 1.209610568511379075e-01 1.213501915925951358e-01
4.000000000000000192e-04 1.269793330759809158e-01 1.274074110860053677e-01
