# garg caseA [0/90/0], S = a/h = 10 -- 3-D DISPLACEMENT recovery, Yu-2003 Eq. 65
# plate part u^2d from: ABAQUS RM-shell job garg_caseA_S10.dat  (harmonic fit residual 3.00e-08)
# stations: U1, U2 at x = 0 (cos peak); U3 at x = a/2 (sin peak)
# 
# U_1 = U - x3 (p W) + w1 ; U_2 = V + w2 ; U_3 = W + w3   (Kirchhoff
# composition -- the raw warping tilt carries the mean shear; z*phi
# would double-count it, see msgrm_warping_at_depth)
#   plate DOF amplitudes [U, V, W, F1, F2] = [0, 0, 9.43695e-05, -0.000160094, 0]
#   (rotations F1/F2 are fitted and recorded but the composition
#    needs only U, V, W; Abaqus map phi1 = UR2, phi2 = -UR1; the
#    rigid-body constants of the deck's pins are fitted out -- the
#    exact solution carries the zero-span-average gauge)
#   strain amplitudes Es = [0, 0, 0, 0.000502949, 0, 0]
#   warping arguments: E6,1 = p Es at x = 0 ; E6 = Es and
#   E6,11 = -p^2 Es at x = a/2
# 
# gauge check: <U1_exact> over the thickness = 3.078240e-08 vs plate u0 = 0.000000e+00
# 
# rel L2 errors vs exact 3-D [%]:  U1   1.4203   U2   0.0000 (U2_exact ~ 0: denominator floored at 1e-3 ||U1||)   U3   1.3006
# 
# columns: z[m]  U1_rec U1_exact  U2_rec U2_exact  U3_rec U3_exact  [m]
  -3.208333e-02    4.685214e-06    4.731673e-06    1.647803e-21    1.310696e-22    9.438131e-05    9.302201e-05
  -3.166667e-02    4.586188e-06    4.635772e-06    1.647803e-21    1.310940e-22    9.438107e-05    9.302432e-05
  -3.125000e-02    4.487595e-06    4.540266e-06    1.647803e-21    1.311189e-22    9.438082e-05    9.302660e-05
  -3.083333e-02    4.389429e-06    4.445146e-06    1.647803e-21    1.311444e-22    9.438055e-05    9.302885e-05
  -3.041667e-02    4.291684e-06    4.350405e-06    1.647803e-21    1.311704e-22    9.438025e-05    9.303109e-05
  -3.000000e-02    4.194355e-06    4.256034e-06    1.647803e-21    1.311970e-22    9.437995e-05    9.303330e-05
  -2.958333e-02    4.097436e-06    4.162026e-06    1.647803e-21    1.312242e-22    9.437962e-05    9.303549e-05
  -2.916667e-02    4.000920e-06    4.068372e-06    1.647803e-21    1.312519e-22    9.437928e-05    9.303766e-05
  -2.875000e-02    3.904804e-06    3.975064e-06    1.647803e-21    1.312802e-22    9.437893e-05    9.303981e-05
  -2.833333e-02    3.809080e-06    3.882094e-06    1.647803e-21    1.313091e-22    9.437855e-05    9.304193e-05
  -2.791667e-02    3.713744e-06    3.789454e-06    1.647803e-21    1.313385e-22    9.437817e-05    9.304404e-05
  -2.750000e-02    3.618788e-06    3.697137e-06    1.647803e-21    1.313685e-22    9.437777e-05    9.304613e-05
  -2.708333e-02    3.524209e-06    3.605134e-06    1.647803e-21    1.313990e-22    9.437735e-05    9.304819e-05
  -2.666667e-02    3.430000e-06    3.513437e-06    1.647803e-21    1.314301e-22    9.437692e-05    9.305024e-05
  -2.625000e-02    3.336155e-06    3.422039e-06    1.647803e-21    1.314618e-22    9.437648e-05    9.305227e-05
  -2.583333e-02    3.242669e-06    3.330932e-06    1.647803e-21    1.314940e-22    9.437602e-05    9.305428e-05
  -2.541667e-02    3.149536e-06    3.240107e-06    1.647803e-21    1.315268e-22    9.437555e-05    9.305627e-05
  -2.500000e-02    3.056750e-06    3.149558e-06    1.647803e-21    1.315602e-22    9.437507e-05    9.305825e-05
  -2.458333e-02    2.964305e-06    3.059276e-06    1.647803e-21    1.315941e-22    9.437458e-05    9.306020e-05
  -2.416667e-02    2.872197e-06    2.969254e-06    1.647803e-21    1.316286e-22    9.437408e-05    9.306214e-05
  -2.375000e-02    2.780419e-06    2.879483e-06    1.647803e-21    1.316636e-22    9.437356e-05    9.306406e-05
  -2.333333e-02    2.688965e-06    2.789957e-06    1.647803e-21    1.316993e-22    9.437303e-05    9.306596e-05
  -2.291667e-02    2.597830e-06    2.700667e-06    1.647803e-21    1.317354e-22    9.437250e-05    9.306785e-05
  -2.250000e-02    2.507009e-06    2.611606e-06    1.647803e-21    1.317722e-22    9.437195e-05    9.306972e-05
  -2.208333e-02    2.416494e-06    2.522766e-06    1.647803e-21    1.318095e-22    9.437139e-05    9.307157e-05
  -2.166667e-02    2.326282e-06    2.434140e-06    1.647803e-21    1.318474e-22    9.437082e-05    9.307341e-05
  -2.125000e-02    2.236366e-06    2.345720e-06    1.647803e-21    1.318858e-22    9.437025e-05    9.307523e-05
  -2.083333e-02    2.146740e-06    2.257498e-06    1.647803e-21    1.319248e-22    9.436966e-05    9.307704e-05
  -2.041667e-02    2.057398e-06    2.169467e-06    1.647803e-21    1.319644e-22    9.436907e-05    9.307883e-05
  -2.000000e-02    1.968336e-06    2.081619e-06    1.647803e-21    1.320045e-22    9.436846e-05    9.308060e-05
  -1.958333e-02    1.879547e-06    1.993946e-06    1.647803e-21    1.320452e-22    9.436785e-05    9.308236e-05
  -1.916667e-02    1.791025e-06    1.906442e-06    1.647803e-21    1.320864e-22    9.436723e-05    9.308411e-05
  -1.875000e-02    1.702765e-06    1.819099e-06    1.647803e-21    1.321283e-22    9.436661e-05    9.308584e-05
  -1.833333e-02    1.614762e-06    1.731908e-06    1.647803e-21    1.321707e-22    9.436597e-05    9.308755e-05
  -1.791667e-02    1.527009e-06    1.644863e-06    1.647803e-21    1.322136e-22    9.436533e-05    9.308925e-05
  -1.750000e-02    1.439501e-06    1.557957e-06    1.647803e-21    1.322572e-22    9.436468e-05    9.309094e-05
  -1.708333e-02    1.352232e-06    1.471181e-06    1.647803e-21    1.323013e-22    9.436403e-05    9.309261e-05
  -1.666667e-02    1.265197e-06    1.384528e-06    1.647803e-21    1.323459e-22    9.436337e-05    9.309427e-05
  -1.666667e-02    1.265197e-06    1.384528e-06    1.647803e-21    1.323459e-22    9.436337e-05    9.309427e-05
  -1.625000e-02    1.233287e-06    1.350838e-06    1.644434e-21    1.291247e-22    9.436279e-05    9.309582e-05
  -1.583333e-02    1.201399e-06    1.317156e-06    1.641066e-21    1.259034e-22    9.436223e-05    9.309737e-05
  -1.541667e-02    1.169532e-06    1.283481e-06    1.637696e-21    1.226820e-22    9.436168e-05    9.309894e-05
  -1.500000e-02    1.137685e-06    1.249814e-06    1.634326e-21    1.194605e-22    9.436114e-05    9.310052e-05
  -1.458333e-02    1.105857e-06    1.216152e-06    1.630955e-21    1.162390e-22    9.436062e-05    9.310211e-05
  -1.416667e-02    1.074048e-06    1.182497e-06    1.627584e-21    1.130174e-22    9.436012e-05    9.310371e-05
  -1.375000e-02    1.042258e-06    1.148848e-06    1.624212e-21    1.097958e-22    9.435963e-05    9.310532e-05
  -1.333333e-02    1.010486e-06    1.115204e-06    1.620839e-21    1.065741e-22    9.435915e-05    9.310694e-05
  -1.291667e-02    9.787313e-07    1.081566e-06    1.617466e-21    1.033524e-22    9.435869e-05    9.310857e-05
  -1.250000e-02    9.469934e-07    1.047932e-06    1.614092e-21    1.001307e-22    9.435824e-05    9.311021e-05
  -1.208333e-02    9.152718e-07    1.014303e-06    1.610718e-21    9.690890e-23    9.435781e-05    9.311186e-05
  -1.166667e-02    8.835660e-07    9.806787e-07    1.607343e-21    9.368709e-23    9.435739e-05    9.311352e-05
  -1.125000e-02    8.518755e-07    9.470577e-07    1.603968e-21    9.046526e-23    9.435699e-05    9.311519e-05
  -1.083333e-02    8.201996e-07    9.134403e-07    1.600592e-21    8.724341e-23    9.435660e-05    9.311688e-05
  -1.041667e-02    7.885379e-07    8.798261e-07    1.597216e-21    8.402154e-23    9.435623e-05    9.311857e-05
  -1.000000e-02    7.568897e-07    8.462147e-07    1.593840e-21    8.079966e-23    9.435587e-05    9.312027e-05
  -9.583333e-03    7.252546e-07    8.126058e-07    1.590463e-21    7.757777e-23    9.435552e-05    9.312199e-05
  -9.166667e-03    6.936321e-07    7.789991e-07    1.587085e-21    7.435589e-23    9.435519e-05    9.312371e-05
  -8.750000e-03    6.620215e-07    7.453942e-07    1.583707e-21    7.113400e-23    9.435488e-05    9.312545e-05
  -8.333333e-03    6.304223e-07    7.117907e-07    1.580329e-21    6.791213e-23    9.435458e-05    9.312719e-05
  -7.916667e-03    5.988340e-07    6.781884e-07    1.576951e-21    6.469026e-23    9.435429e-05    9.312895e-05
  -7.500000e-03    5.672560e-07    6.445869e-07    1.573572e-21    6.146841e-23    9.435402e-05    9.313071e-05
  -7.083333e-03    5.356879e-07    6.109859e-07    1.570192e-21    5.824658e-23    9.435376e-05    9.313249e-05
  -6.666667e-03    5.041289e-07    5.773849e-07    1.566813e-21    5.502478e-23    9.435352e-05    9.313428e-05
  -6.250000e-03    4.725787e-07    5.437837e-07    1.563433e-21    5.180301e-23    9.435329e-05    9.313607e-05
  -5.833333e-03    4.410367e-07    5.101820e-07    1.560053e-21    4.858127e-23    9.435308e-05    9.313788e-05
  -5.416667e-03    4.095022e-07    4.765793e-07    1.556673e-21    4.535957e-23    9.435288e-05    9.313970e-05
  -5.000000e-03    3.779749e-07    4.429754e-07    1.553292e-21    4.213792e-23    9.435269e-05    9.314153e-05
  -4.583333e-03    3.464540e-07    4.093699e-07    1.549912e-21    3.891631e-23    9.435253e-05    9.314337e-05
  -4.166667e-03    3.149392e-07    3.757625e-07    1.546531e-21    3.569476e-23    9.435237e-05    9.314522e-05
  -3.750000e-03    2.834297e-07    3.421528e-07    1.543150e-21    3.247326e-23    9.435223e-05    9.314708e-05
  -3.333333e-03    2.519252e-07    3.085405e-07    1.539768e-21    2.925183e-23    9.435211e-05    9.314895e-05
  -2.916667e-03    2.204250e-07    2.749252e-07    1.536387e-21    2.603046e-23    9.435200e-05    9.315083e-05
  -2.500000e-03    1.889287e-07    2.413067e-07    1.533006e-21    2.280916e-23    9.435190e-05    9.315272e-05
  -2.083333e-03    1.574356e-07    2.076845e-07    1.529624e-21    1.958793e-23    9.435182e-05    9.315462e-05
  -1.666667e-03    1.259452e-07    1.740583e-07    1.526242e-21    1.636679e-23    9.435175e-05    9.315654e-05
  -1.250000e-03    9.445699e-08    1.404278e-07    1.522860e-21    1.314573e-23    9.435170e-05    9.315846e-05
  -8.333333e-04    6.297042e-08    1.067927e-07    1.519479e-21    9.924760e-24    9.435167e-05    9.316039e-05
  -4.166667e-04    3.148494e-08    7.315256e-08    1.516097e-21    6.703882e-24    9.435164e-05    9.316234e-05
  -3.469447e-18   -2.333633e-21    3.950709e-08    1.512715e-21    3.483103e-24    9.435164e-05    9.316429e-05
   4.166667e-04   -3.148494e-08    5.855932e-09    1.509333e-21    2.624253e-25    9.435164e-05    9.316626e-05
   8.333333e-04   -6.297042e-08   -2.780124e-08    1.505951e-21   -2.958145e-24    9.435167e-05    9.316823e-05
   1.250000e-03   -9.445699e-08   -6.146478e-08    1.502569e-21   -6.178604e-24    9.435170e-05    9.317022e-05
   1.666667e-03   -1.259452e-07   -9.513502e-08    1.499188e-21   -9.398947e-24    9.435175e-05    9.317221e-05
   2.083333e-03   -1.574356e-07   -1.288123e-07    1.495806e-21   -1.261917e-23    9.435182e-05    9.317422e-05
