# eta F1 F2 F3 M1 M2 M3 (RM CENTER-ref BeamDyn, VABS order)
0.00000000e+00 -6.44900592e-06 -2.39422988e-08 2.23607775e+06 1.21251850e+06 -1.12030544e+08 -4.11329552e-07
2.00000000e-02 2.07495361e+03 7.56198425e+01 2.15497000e+06 1.21427150e+06 -1.05899552e+08 2.54692651e+03
4.00000000e-02 4.74173926e+03 1.68900665e+02 2.07209938e+06 1.23365012e+06 -9.99422000e+07 5.32342041e+03
6.00000000e-02 7.97104248e+03 2.89281342e+02 1.98933050e+06 1.25671700e+06 -9.42017040e+07 8.66294043e+03
8.00000000e-02 1.17652344e+04 5.40164001e+02 1.90787175e+06 1.27571212e+06 -8.86939600e+07 1.72444668e+04
1.00000000e-01 1.60984160e+04 1.03401941e+03 1.82843962e+06 1.28691062e+06 -8.34187600e+07 3.58444414e+04
1.20000000e-01 2.08957656e+04 1.84953772e+03 1.75139312e+06 1.28908425e+06 -7.83676480e+07 6.73792266e+04
1.40000000e-01 2.60360273e+04 3.01637622e+03 1.67684500e+06 1.28242388e+06 -7.35290960e+07 1.12355148e+05
1.60000000e-01 3.13656719e+04 4.51639746e+03 1.60474962e+06 1.26781275e+06 -6.88917200e+07 1.69108375e+05
1.80000000e-01 3.67171758e+04 6.29357715e+03 1.53497125e+06 1.24636288e+06 -6.44460080e+07 2.34423281e+05
2.00000000e-01 4.19268867e+04 8.26739746e+03 1.46733512e+06 1.21914500e+06 -6.01849720e+07 3.04264594e+05
2.20000000e-01 4.68498008e+04 1.03464873e+04 1.40166350e+06 1.18706100e+06 -5.61041480e+07 3.74460281e+05
2.40000000e-01 5.13701016e+04 1.24405742e+04 1.33779912e+06 1.15080988e+06 -5.22011320e+07 4.41243250e+05
2.60000000e-01 5.54070000e+04 1.44697363e+04 1.27561838e+06 1.11091388e+06 -4.84748960e+07 5.01612844e+05
2.80000000e-01 5.89161953e+04 1.63705352e+04 1.21503625e+06 1.06777488e+06 -4.49250760e+07 5.53512938e+05
3.00000000e-01 6.18875391e+04 1.80990742e+04 1.15600600e+06 1.02173956e+06 -4.15512720e+07 5.95850375e+05
3.20000000e-01 6.43397930e+04 1.96313047e+04 1.09851362e+06 9.73157625e+05 -3.83525080e+07 6.28391812e+05
3.40000000e-01 6.63135703e+04 2.09611289e+04 1.04257119e+06 9.22426062e+05 -3.53268400e+07 6.51582438e+05
3.60000000e-01 6.78634062e+04 2.20969609e+04 9.88207812e+05 8.70014250e+05 -3.24711380e+07 6.66328812e+05
3.80000000e-01 6.90499453e+04 2.30573926e+04 9.35461125e+05 8.16469812e+05 -2.97810620e+07 6.73781562e+05
4.00000000e-01 6.99329766e+04 2.38666348e+04 8.84369188e+05 7.62407500e+05 -2.72511540e+07 6.75143312e+05
4.20000000e-01 7.05657969e+04 2.45502324e+04 8.34963625e+05 7.08485375e+05 -2.48750740e+07 6.71519062e+05
4.40000000e-01 7.09913203e+04 2.51314434e+04 7.87264188e+05 6.55370688e+05 -2.26458960e+07 6.63815812e+05
4.60000000e-01 7.12397812e+04 2.56285469e+04 7.41275438e+05 6.03702125e+05 -2.05564420e+07 6.52691438e+05
4.80000000e-01 7.13281953e+04 2.60531602e+04 6.96984938e+05 5.54051688e+05 -1.85996220e+07 6.38549562e+05
5.00000000e-01 7.12611016e+04 2.64095703e+04 6.54363750e+05 5.06890125e+05 -1.67687240e+07 6.21570562e+05
5.20000000e-01 7.10323828e+04 2.66949648e+04 6.13368125e+05 4.62560906e+05 -1.50576470e+07 6.01770062e+05
5.40000000e-01 7.06278516e+04 2.69004316e+04 5.73942438e+05 4.21264062e+05 -1.34610480e+07 5.79073812e+05
5.60000000e-01 7.00281719e+04 2.70124961e+04 5.36023375e+05 3.83052688e+05 -1.19743900e+07 5.53396875e+05
5.80000000e-01 6.92118828e+04 2.70150273e+04 4.99544594e+05 3.47842531e+05 -1.05938930e+07 5.24716875e+05
6.00000000e-01 6.81581562e+04 2.68912910e+04 4.64440656e+05 3.15433438e+05 -9.31639900e+06 4.93132125e+05
6.20000000e-01 6.68491484e+04 2.66259277e+04 4.30651406e+05 2.85541594e+05 -8.13915450e+06 4.58896312e+05
6.40000000e-01 6.52717031e+04 2.62067051e+04 3.98124562e+05 2.57838781e+05 -7.05956100e+06 4.22426219e+05
6.60000000e-01 6.34182969e+04 2.56258340e+04 3.66817625e+05 2.31994969e+05 -6.07489550e+06 3.84282344e+05
6.80000000e-01 6.12871406e+04 2.48807539e+04 3.36697781e+05 2.07719812e+05 -5.18206150e+06 3.45125688e+05
7.00000000e-01 5.88814961e+04 2.39742930e+04 3.07740312e+05 1.84798109e+05 -4.37739300e+06 3.05659375e+05
7.20000000e-01 5.62082617e+04 2.29141582e+04 2.79925438e+05 1.63114656e+05 -3.65655000e+06 2.66565188e+05
7.40000000e-01 5.32760625e+04 2.17118574e+04 2.53233641e+05 1.42664203e+05 -3.01453750e+06 2.28447641e+05
7.60000000e-01 5.00931016e+04 2.03811582e+04 2.27640391e+05 1.23543250e+05 -2.44586050e+06 1.91797266e+05
7.80000000e-01 4.66651758e+04 1.89362988e+04 2.03110656e+05 1.05922172e+05 -1.94482225e+06 1.56982703e+05
8.00000000e-01 4.29943828e+04 1.73902812e+04 1.79594703e+05 8.99982969e+04 -1.50595012e+06 1.24276922e+05
8.20000000e-01 3.90791602e+04 1.57535859e+04 1.57026672e+05 7.59341172e+04 -1.12450362e+06 9.39173125e+04
8.40000000e-01 3.49165117e+04 1.40337539e+04 1.35327969e+05 6.37882461e+04 -7.96993312e+05 6.61913828e+04
8.60000000e-01 3.05073809e+04 1.22363545e+04 1.14418008e+05 5.34513320e+04 -5.21597156e+05 4.15300664e+04
8.80000000e-01 2.58662344e+04 1.03678809e+04 9.42357969e+04 4.46034219e+04 -2.98315375e+05 2.05779121e+04
9.00000000e-01 2.10358125e+04 8.44118848e+03 7.47762266e+04 3.67151367e+04 -1.28652195e+05 4.19444336e+03
9.20000000e-01 1.61074873e+04 6.48401318e+03 5.61463711e+04 2.91226074e+04 -1.45494404e+04 -6.67457715e+03
9.40000000e-01 1.12468428e+04 4.55101221e+03 3.86482031e+04 2.12193105e+04 4.37736211e+04 -1.13294922e+04
9.60000000e-01 6.72324023e+03 2.73943018e+03 2.28954160e+04 1.28271846e+04 5.15028984e+04 -9.92901074e+03
9.80000000e-01 2.94256885e+03 1.20832788e+03 9.97313477e+03 4.83079590e+03 2.49577910e+04 -4.44916699e+03
1.00000000e+00 4.87705444e+02 2.01682053e+02 1.64843335e+03 1.58309464e+02 -3.14574766e+00 -4.64525566e+01
