# z[m](mid-plane origin)  s11(a/2,b/2)  s22(a/2,b/2)  s13(0,b/2)  s23(a/2,0)  [Pa] -- constitutive TSDT at ITS peak t=2.2700 ms (blast pulse); no s33 in the theory
-7.619999900000000437e-02 -1.886251172910452652e+10 -2.116144407129294157e+09 4.219417483575534789e+02 1.393817269326420387e+02
-7.606392771428571731e-02 -1.874091495336542892e+10 -2.103356349822507858e+09 5.736331510350380838e+07 1.894905624492119998e+07
-7.592785642857143025e-02 -1.861978956455810547e+10 -2.090616599339193583e+09 1.146236830934276432e+08 3.786410555279631913e+07
-7.579178514285714319e-02 -1.849913471941520309e+10 -2.077925069262939692e+09 1.717815259115251899e+08 5.674528730535406619e+07
-7.565571385714285613e-02 -1.837894957466940308e+10 -2.065281673177336931e+09 2.288368435577947497e+08 7.559260150259384513e+07
-7.551964257142856907e-02 -1.825923328705335236e+10 -2.052686324665974855e+09 2.857896360322344303e+08 9.440604814451508224e+07
-7.538357128571428201e-02 -1.813998501329972076e+10 -2.040138937312443018e+09 3.426399033348479271e+08 1.131856272311189324e+08
-7.524750000000000882e-02 -1.802120391014117432e+10 -2.027639424700333357e+09 3.993876454656261802e+08 1.319313387624024600e+08
-7.511142871428572176e-02 -1.790288913431036377e+10 -2.015187700413232327e+09 4.560328624245817661e+08 1.506431827383697927e+08
-7.497535742857143470e-02 -1.778503984253994370e+10 -2.002783678034730673e+09 5.125755542117110491e+08 1.693211591590197682e+08
-7.483928614285714764e-02 -1.766765519156259155e+10 -1.990427271148419619e+09 5.690157208270106316e+08 1.879652680243511498e+08
-7.470321485714286058e-02 -1.755073433811096573e+10 -1.978118393337887526e+09 6.253533622704820633e+08 2.065755093343645930e+08
-7.456714357142857352e-02 -1.743427643891772079e+10 -1.965856958186724901e+09 6.815884785421254635e+08 2.251518830890600681e+08
-7.443107228571428646e-02 -1.731828065071552658e+10 -1.953642879278521299e+09 7.377210696419390440e+08 2.436943892884369791e+08
-7.429500099999999940e-02 -1.720274613023704147e+10 -1.941476070196867228e+09 7.937511355699262619e+08 2.622030279324965179e+08
-7.429499900000000046e-02 -1.839501005977237225e+09 -1.875090860984175873e+10 2.710804679208029509e+08 7.677586815531729460e+08
-7.415892771428571340e-02 -1.827395355894736290e+09 -1.863562235624855042e+10 2.901807212804720402e+08 8.218547418456293344e+08
-7.402285642857142633e-02 -1.815337753081069946e+09 -1.852078125690880585e+10 3.092459604631544948e+08 8.758516343944078684e+08
-7.388678514285713927e-02 -1.803328109376202583e+09 -1.840638449502659225e+10 3.282761854688510895e+08 9.297493591995102167e+08
-7.375071385714286609e-02 -1.791366336620102406e+09 -1.829243125380596924e+10 3.472713962975599170e+08 9.835479162609312534e+08
-7.361464257142857903e-02 -1.779452346652730465e+09 -1.817892071645096207e+10 3.662315929492840767e+08 1.037247305578679800e+09
-7.347857128571429197e-02 -1.767586051314053774e+09 -1.806585206616564941e+10 3.851567754240229130e+08 1.090847527152753830e+09
-7.334250000000000491e-02 -1.755767362444037437e+09 -1.795322448615406418e+10 4.040469437217751741e+08 1.144348580983150005e+09
-7.320642871428571785e-02 -1.743996191882647514e+09 -1.784103715962027740e+10 4.229020978425422311e+08 1.197750467069871664e+09
-7.307035742857143079e-02 -1.732272451469848394e+09 -1.772928926976832962e+10 4.417222377863227129e+08 1.251053185412915468e+09
-7.293428614285714373e-02 -1.720596053045605659e+09 -1.761797999980228043e+10 4.605073635531172156e+08 1.304256736012283325e+09
-7.279821485714287055e-02 -1.708966908449885607e+09 -1.750710853292619324e+10 4.792574751429246068e+08 1.357361118867971420e+09
-7.266214357142858349e-02 -1.697384929522650957e+09 -1.739667405234408951e+10 4.979725725557467937e+08 1.410366333979985237e+09
-7.252607228571429643e-02 -1.685850028103868246e+09 -1.728667574126004791e+10 5.166526557915835381e+08 1.463272381348324537e+09
-7.239000100000000937e-02 -1.674362116033503294e+09 -1.717711278287810707e+10 5.352977248504345417e+08 1.516079260972987652e+09
-7.238999900000001042e-02 -1.563322052235383415e+10 -1.776055343855067015e+09 1.567408518898440361e+09 5.177684052915034890e+08
-7.225392771428572336e-02 -1.552450383882572365e+10 -1.764587213552608728e+09 1.621900704235138893e+09 5.357690296102102399e+08
-7.211785642857143630e-02 -1.541623493071912384e+10 -1.753164970411596060e+09 1.676290364400005817e+09 5.537357863735978603e+08
-7.198178514285714924e-02 -1.530841295476668739e+10 -1.741788528015618563e+09 1.730577499393048048e+09 5.716686755816686153e+08
-7.184571385714286218e-02 -1.520103706770107460e+10 -1.730457799948265314e+09 1.784762109214258671e+09 5.895676972344204187e+08
-7.170964257142857512e-02 -1.509410642625495720e+10 -1.719172699793128252e+09 1.838844193863645077e+09 6.074328513318551779e+08
-7.157357128571428806e-02 -1.498762018716098785e+10 -1.707933141133795261e+09 1.892823753341199636e+09 6.252641378739709854e+08
-7.143750000000001488e-02 -1.488157750715183830e+10 -1.696739037553857803e+09 1.946700787646921158e+09 6.430615568607670069e+08
-7.130142871428572782e-02 -1.477597754296016121e+10 -1.685590302636904001e+09 2.000475296780821323e+09 6.608251082922474146e+08
-7.116535742857144076e-02 -1.467081945131861687e+10 -1.674486849966523886e+09 2.054147280742891788e+09 6.785547921684092283e+08
-7.102928614285715370e-02 -1.456610238895986366e+10 -1.663428593126307487e+09 2.107716739533134222e+09 6.962506084892531633e+08
-7.089321485714286664e-02 -1.446182551261657524e+10 -1.652415445699845076e+09 2.161183673151550293e+09 7.139125572547796965e+08
-7.075714357142857958e-02 -1.435798797902140045e+10 -1.641447321270725965e+09 2.214548081598134995e+09 7.315406384649870396e+08
-7.062107228571429252e-02 -1.425458894490701294e+10 -1.630524133422540426e+09 2.267809964872895718e+09 7.491348521198775768e+08
-7.048500100000000546e-02 -1.415162756700606728e+10 -1.619645795738878012e+09 2.320969322975823879e+09 7.666951982194490433e+08
-7.048499900000000651e-02 -1.518415541047951221e+09 -1.568848295564076805e+10 7.926527362632005215e+08 2.244964472692086697e+09
-7.034892771428571945e-02 -1.507621891340819120e+09 -1.558535228470237350e+10 8.107725916379715204e+08 2.296283833246432781e+09
-7.021285642857143239e-02 -1.496873820418956041e+09 -1.548264389770691681e+10 8.288574328357579708e+08 2.347504026057106018e+09
-7.007678514285714533e-02 -1.486171240122328043e+09 -1.538035697785845566e+10 8.469072598565578461e+08 2.398625051124101162e+09
-6.994071385714285827e-02 -1.475514062290899515e+09 -1.527849070836103630e+10 8.649220727003717422e+08 2.449646908447419643e+09
-6.980464257142857121e-02 -1.464902198764636040e+09 -1.517704427241871452e+10 8.829018713671998978e+08 2.500569598027062893e+09
-6.966857128571428415e-02 -1.454335561383503437e+09 -1.507601685323554420e+10 9.008466558570414782e+08 2.551393119863028049e+09
-6.953250000000001096e-02 -1.443814061987467527e+09 -1.497540763401559067e+10 9.187564261698951721e+08 2.602117473955311775e+09
-6.939642871428572390e-02 -1.433337612416490793e+09 -1.487521579796287918e+10 9.366311823057661057e+08 2.652742660303927898e+09
-6.926035742857143684e-02 -1.422906124510540962e+09 -1.477544052828147697e+10 9.544709242646498680e+08 2.703268678908864498e+09
-6.912428614285714978e-02 -1.412519510109581947e+09 -1.467608100817543602e+10 9.722756520465483665e+08 2.753695529770126820e+09
