# t[s]  w_center_TSDT[m]  w_center_RM_navier[m]  (Nayak Ex.5, step pulse, q0 F(t) sinsin)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000082e-05 8.469914873130657772e-05 8.472023501988704423e-05
2.000000000000000164e-05 3.387811381745877326e-04 3.388674249917067232e-04
3.000000000000000415e-05 7.621996694680147413e-04 7.624010963555174309e-04
4.000000000000000327e-05 1.354877814182769589e-03 1.355254030493315736e-03
5.000000000000000240e-05 2.116708363181060443e-03 2.117332613813058956e-03
6.000000000000000830e-05 3.047554303844410631e-03 3.048517316229832404e-03
7.000000000000000742e-05 4.147249414817798588e-03 4.148663286748290394e-03
8.000000000000000654e-05 5.415598964747868165e-03 5.417601052091902160e-03
9.000000000000000567e-05 6.852380499150038072e-03 6.855137301907478047e-03
1.000000000000000048e-04 8.457344697567377445e-03 8.461055742053915155e-03
1.100000000000000039e-04 1.023021628161912590e-02 1.023511799590792054e-02
1.200000000000000166e-04 1.217069495343913593e-02 1.217706453252494908e-02
1.300000000000000157e-04 1.427845634337631363e-02 1.428661559991697277e-02
1.400000000000000148e-04 1.655315294569514525e-02 1.656347214164132289e-02
1.500000000000000140e-04 1.899441502138516855e-02 1.900731667536606148e-02
1.600000000000000131e-04 2.160185144803696347e-02 2.161781411305689626e-02
1.700000000000000122e-04 2.437505049806822435e-02 2.439461250389400940e-02
1.800000000000000113e-04 2.731358052833837702e-02 2.733734368295918579e-02
1.900000000000000105e-04 3.041699056635185916e-02 3.044562381105975907e-02
2.000000000000000096e-04 3.368481078074649776e-02 3.371905379374356970e-02
2.100000000000000087e-04 3.711655282655572374e-02 3.715721957052805363e-02
2.200000000000000078e-04 4.071171005874291149e-02 4.075969226855873095e-02
2.300000000000000070e-04 4.446975761067063077e-02 4.452602821823332252e-02
2.400000000000000332e-04 4.839015233740610183e-02 4.845576883171814203e-02
2.500000000000000052e-04 5.247233262700950335e-02 5.254844034864313007e-02
2.600000000000000314e-04 5.671571808611860360e-02 5.680355345652317312e-02
2.700000000000000035e-04 6.111970910916509486e-02 6.122060279652899450e-02
2.800000000000000297e-04 6.568368634336063661e-02 6.579906636805307740e-02
2.900000000000000017e-04 7.040701006410865492e-02 7.053840484801232602e-02
3.000000000000000279e-04 7.528901947767364933e-02 7.543806084294084335e-02
3.099999999999999999e-04 8.032903196972072946e-02 8.049745809360435433e-02
3.200000000000000262e-04 8.552634231968454792e-02 8.571600065307079241e-02
3.300000000000000524e-04 9.088022190180719551e-02 9.109307205986591494e-02
3.400000000000000244e-04 9.638991789407251598e-02 9.662803452802133652e-02
3.500000000000000507e-04 1.020546525161642321e-01 1.023202281754738152e-01
3.600000000000000227e-04 1.078736223169711878e-01 1.081689703114043638e-01
3.700000000000000489e-04 1.138459975310858047e-01 1.141735548017501767e-01
3.800000000000000209e-04 1.199709215222074660e-01 1.203332515302893424e-01
3.900000000000000471e-04 1.262475103294064260e-01 1.266473059704610049e-01
4.000000000000000192e-04 1.326748523298792726e-01 1.331149388804677980e-01
4.100000000000000454e-04 1.392520080291788365e-01 1.397353461312996203e-01
4.200000000000000174e-04 1.459780099869972814e-01 1.465076986741726262e-01
4.300000000000000436e-04 1.528518628834908688e-01 1.534311426505745035e-01
4.400000000000000157e-04 1.598725437279214234e-01 1.605047996447349634e-01
4.500000000000000419e-04 1.670390022081407466e-01 1.677277670749638405e-01
4.600000000000000139e-04 1.743501611762222903e-01 1.750991187170108931e-01
4.700000000000000401e-04 1.818049172624411625e-01 1.826179053494881854e-01
4.800000000000000664e-04 1.894021416068701336e-01 1.902831555084995852e-01
4.900000000000000926e-04 1.971406806951887247e-01 1.980938763360649557e-01
5.000000000000000104e-04 2.050193572829348276e-01 2.060490545047137800e-01
5.100000000000000366e-04 2.130369713904338991e-01 2.141476571988531197e-01
5.200000000000000629e-04 2.211923013490607604e-01 2.223886331321999199e-01
5.300000000000000891e-04 2.294841048783592130e-01 2.307709135797623989e-01
5.400000000000000069e-04 2.379111201728938974e-01 2.392934134025571646e-01
5.500000000000000331e-04 2.464720669775515571e-01 2.479550320434822097e-01
5.600000000000000594e-04 2.551656476303453824e-01 2.567546544735181402e-01
5.700000000000000856e-04 2.639905480526110737e-01 2.656911520686823236e-01
5.800000000000000034e-04 2.729454386677728772e-01 2.747633833998801012e-01
5.900000000000000296e-04 2.820289752316021414e-01 2.839701949199566755e-01
6.000000000000000559e-04 2.912397995590217947e-01 2.933104215347772659e-01
6.100000000000000821e-04 3.005765401349986821e-01 3.027828870480115953e-01
6.199999999999999999e-04 3.100378125998382028e-01 3.123864044723954070e-01
6.300000000000000261e-04 3.196222201021987064e-01 3.221197762035050149e-01
6.400000000000000524e-04 3.293283535162963571e-01 3.319817940554430913e-01
6.500000000000000786e-04 3.391547915230151977e-01 3.419712391612158009e-01
6.600000000000001048e-04 3.491001005578742156e-01 3.520868817438786991e-01
6.700000000000000226e-04 3.591628346319837850e-01 3.623274807676957199e-01
6.800000000000000488e-04 3.693415350351507143e-01 3.726917834814900132e-01
6.900000000000000751e-04 3.796347299331073177e-01 3.831785248690062207e-01
7.000000000000001013e-04 3.900409338733750175e-01 3.937864270233887298e-01
7.100000000000000191e-04 4.005586472164678891e-01 4.045141984647507294e-01
7.200000000000000453e-04 4.111863555109431800e-01 4.153605334212234212e-01
7.300000000000000716e-04 4.219225288321787892e-01 4.263241110947911250e-01
7.400000000000000978e-04 4.327656211056582491e-01 4.374035949336332330e-01
7.500000000000000156e-04 4.437140694359635318e-01 4.485976319325681860e-01
7.600000000000000418e-04 4.547662934625991693e-01 4.599048519825649217e-01
7.700000000000000681e-04 4.659206947631909790e-01 4.713238672891372216e-01
7.800000000000000943e-04 4.771756563235573512e-01 4.828532718778215105e-01
7.900000000000000121e-04 4.885295420926318299e-01 4.944916412028782515e-01
8.000000000000000383e-04 4.999806966382890905e-01 5.062375318729033236e-01
8.100000000000000646e-04 5.115274449178115468e-01 5.180894815042654811e-01
8.200000000000000908e-04 5.231680921741130863e-01 5.300460087102387696e-01
8.300000000000001170e-04 5.349009239659349157e-01 5.421056132304744590e-01
8.400000000000000348e-04 5.467242063371504646e-01 5.542667762021038502e-01
8.500000000000000611e-04 5.586361861271109674e-01 5.665279605704054422e-01
8.600000000000000873e-04 5.706350914207102276e-01 5.788876116336294508e-01
8.700000000000001135e-04 5.827191321336282481e-01 5.913441577133961014e-01
8.800000000000000313e-04 5.948865007250950798e-01 6.038960109390839603e-01
8.900000000000000576e-04 6.071353730275846905e-01 6.165415681319289520e-01
9.000000000000000838e-04 6.194639091801494857e-01 6.292792117721813794e-01
